no, groupNo, randomSeed, numberOfWorkers,maxSolverExecutionTimeInSeconds, processCount, processExecutionTimeMin, processExecutionTimeMax,computerCount,conflictPercentage, timeWeight, SolverWallTime,makespan,parallelTimeSum,serialTimeHorizon,solverStatus,currentTimestamp
0,0,0,8,20,60,5,5,3,15,100,20.084828,100.000000,120.084828,300,FEASIBLE,2025-01-21 15:43:07
0,0,0,4,20,60,5,5,3,15,100,20.045404,100.000000,120.045404,300,FEASIBLE,2025-01-21 15:51:03
0,0,0,8,20,60,5,5,3,15,100,20.179123,100.000000,120.179123,300,FEASIBLE,2025-01-21 15:51:46
0,0,0,8,20,60,5,5,3,15,100,20.150404,100.000000,120.150404,300,FEASIBLE,2025-01-21 15:52:34
0,0,0,4,20,60,5,5,3,15,100,20.042902,100.000000,120.042902,300,FEASIBLE,2025-01-21 15:53:32
0,0,0,4,20,60,5,5,3,15,100,20.048485,100.000000,120.048485,300,FEASIBLE,2025-01-21 15:54:56
0,0,0,4,20,60,5,5,3,15,100,20.032357,106.000000,126.032357,300,FEASIBLE,2025-01-21 16:02:53
0,0,0,4,20,60,5,5,3,15,100,20.041651,209.000000,229.041651,300,FEASIBLE,2025-01-21 16:03:40
0,0,0,4,20,60,5,5,3,15,100,20.059660,100.000000,120.059660,300,FEASIBLE,2025-01-21 16:04:56
0,0,0,1,1,200,5,10,3,0,100,1.295600,0.000000,1.295600,1552,UNKNOWN,2025-01-29 14:09:38
0,0,0,1,5,200,5,10,3,0,100,4.457014,0.000000,4.457014,1552,UNKNOWN,2025-01-29 14:11:28
0,0,0,1,15,200,5,10,3,0,100,12.639673,0.000000,12.639673,1552,UNKNOWN,2025-01-29 14:11:55
0,0,0,1,30,200,5,10,3,0,100,30.035544,1552.000000,1582.035544,1552,UNKNOWN,2025-01-29 14:12:39
0,0,0,1,30,100,5,10,3,0,100,30.013857,547.000000,577.013857,777,FEASIBLE,2025-01-29 14:13:22
0,0,0,1,20,100,5,10,3,0,100,20.010370,777.000000,797.010370,777,UNKNOWN,2025-01-29 14:14:15
0,0,0,1,25,100,5,10,3,0,100,25.022157,675.000000,700.022157,777,FEASIBLE,2025-01-29 14:14:53
0,0,0,1,24,100,5,10,3,0,100,24.021318,676.000000,700.021318,777,FEASIBLE,2025-01-29 14:15:30
0,0,0,1,23,100,5,10,3,0,100,23.017750,685.000000,708.017750,777,FEASIBLE,2025-01-29 14:16:05
0,0,0,1,22,100,5,10,3,0,100,22.015299,685.000000,707.015299,777,FEASIBLE,2025-01-29 14:16:52
0,0,0,1,21,100,5,10,3,0,100,21.010554,777.000000,798.010554,777,UNKNOWN,2025-01-29 14:17:27
0,0,0,1,22,100,5,10,3,0,100,22.017994,685.000000,707.017994,777,FEASIBLE,2025-01-29 14:18:22
0,0,0,1,122,100,5,10,3,0,100,122.017005,272.000000,394.017005,777,FEASIBLE,2025-01-29 14:23:04
1,1,1,14,7,50,5,10,3,15,100,7.101179,376.000000,383.101179,376,UNKNOWN,2025-01-29 20:47:55
2,1,2,14,7,50,5,10,3,15,100,7.092413,358.000000,365.092413,358,UNKNOWN,2025-01-29 20:48:03
3,1,3,14,7,50,5,10,3,15,100,7.109069,351.000000,358.109069,374,FEASIBLE,2025-01-29 20:48:10
4,2,1,14,7,50,5,10,3,25,100,7.163106,376.000000,383.163106,376,UNKNOWN,2025-01-29 20:48:17
5,2,2,14,7,50,5,10,3,25,100,7.161211,358.000000,365.161211,358,UNKNOWN,2025-01-29 20:48:24
0,0,0,1,22,100,5,10,3,0,100,22.032336,777.000000,799.032336,777,UNKNOWN,2025-01-29 20:49:17
0,0,0,1,23,100,5,10,3,0,100,23.013777,777.000000,800.013777,777,UNKNOWN,2025-01-29 20:51:08
0,0,0,1,25,100,5,10,3,0,100,25.014809,675.000000,700.014809,777,FEASIBLE,2025-01-29 20:56:56
0,0,0,1,25,100,5,10,3,0,100,25.015459,448.000000,473.015459,777,FEASIBLE,2025-01-29 22:08:06
0,0,0,1,25,100,5,10,3,0,100,25.019461,461.000000,486.019461,777,FEASIBLE,2025-01-29 22:09:24
0,0,0,1,20,100,5,10,3,0,100,20.016771,470.000000,490.016771,777,FEASIBLE,2025-01-29 22:11:20
0,0,0,1,15,100,5,10,3,0,100,15.017621,522.000000,537.017621,777,FEASIBLE,2025-01-29 22:12:13
0,0,0,1,9,100,5,10,3,0,100,9.018268,589.000000,598.018268,777,FEASIBLE,2025-01-29 22:15:18
0,0,0,1,9,100,5,10,3,0,100,9.017001,604.000000,613.017001,777,FEASIBLE,2025-01-29 22:27:00
0,0,0,1,9,100,5,10,3,0,100,9.015524,599.000000,608.015524,777,FEASIBLE,2025-01-29 22:27:25
0,0,0,1,9,100,5,10,3,0,100,9.014949,616.000000,625.014949,777,FEASIBLE,2025-01-29 22:27:59
0,0,0,1,9,100,5,10,3,0,100,9.017416,596.000000,605.017416,777,FEASIBLE,2025-01-29 22:28:23
0,0,0,1,9,100,5,10,3,0,100,9.011794,589.000000,598.011794,777,FEASIBLE,2025-01-29 22:28:48
0,0,0,1,9,100,5,10,3,0,100,9.016478,599.000000,608.016478,777,FEASIBLE,2025-01-29 22:29:12
0,0,0,1,9,100,5,10,3,0,100,9.014635,599.000000,608.014635,777,FEASIBLE,2025-01-29 22:29:37
0,0,0,1,9,100,5,10,3,0,100,9.019393,599.000000,608.019393,777,FEASIBLE,2025-01-29 22:29:59
0,0,0,1,9,100,5,10,3,0,100,9.012893,594.000000,603.012893,777,FEASIBLE,2025-01-29 22:30:24
0,0,0,1,9,100,5,10,3,0,100,9.020093,606.000000,615.020093,777,FEASIBLE,2025-01-29 22:30:52
0,0,0,1,9,100,5,10,3,0,100,9.016316,631.000000,640.016316,777,FEASIBLE,2025-01-29 22:31:13
0,0,0,1,9,100,5,10,3,0,100,9.014653,604.000000,613.014653,777,FEASIBLE,2025-01-29 22:31:34
0,0,0,1,9,100,5,10,3,0,100,9.016008,611.000000,620.016008,777,FEASIBLE,2025-01-29 22:31:59
0,0,0,1,9,100,5,10,3,0,100,9.022209,599.000000,608.022209,777,FEASIBLE,2025-01-29 22:32:13
0,0,0,1,9,100,5,10,3,0,100,9.026997,599.000000,608.026997,777,FEASIBLE,2025-01-29 22:32:27
0,0,0,1,9,100,5,10,3,0,100,9.014149,604.000000,613.014149,777,FEASIBLE,2025-01-29 22:32:49
0,0,0,1,9,100,5,10,3,0,100,9.015177,596.000000,605.015177,777,FEASIBLE,2025-01-29 22:33:17
0,0,0,1,9,100,5,10,3,0,100,9.022522,604.000000,613.022522,777,FEASIBLE,2025-01-29 22:33:42
0,0,0,1,9,100,5,10,3,0,100,9.016085,594.000000,603.016085,777,FEASIBLE,2025-01-29 22:34:05
0,0,0,1,9,100,5,10,3,0,100,9.024312,596.000000,605.024312,777,FEASIBLE,2025-01-29 22:38:27
