no, groupNo, randomSeed, numberOfWorkers,maxSolverExecutionTimeInSeconds, processCount, processExecutionTimeMin, processExecutionTimeMax,computerCount,conflictPercentage, timeWeight, SolverWallTime,makespan,parallelTimeSum,serialTimeHorizon,solverStatus
0,0,9,28,240,150,5,5,3,15,100,241.242898,745,986.242898,750,FEASIBLE
0,0,9,28,100,150,5,5,3,15,100,101.123097,750,851.123097,750,UNKNOWN
0,0,9,28,150,150,5,5,3,15,100,151.029389,345,496.029389,750,FEASIBLE
0,0,9,28,125,150,5,5,3,15,100,126.192287,750,876.192287,750,UNKNOWN
0,0,1,28,130,160,5,10,3,15,100,131.305504,544,675.305504,1205,FEASIBLE
0,0,1,28,400,300,5,10,3,15,100,408.307997,1604,2012.307997,2284,FEASIBLE
0,0,1,28,130,150,5,10,3,15,100,131.07556,405,536.07556,1124,FEASIBLE
0,0,1,28,127,150,5,10,3,15,100,128.217546,1124,1252.217546,1124,UNKNOWN
0,0,1,28,70,100,5,10,3,15,100,70.548818,742,812.548818,742,UNKNOWN
0,0,1,28,90,100,5,10,3,15,100,90.477517,263,353.477517,742,FEASIBLE
0,0,1,28,80,100,5,10,3,15,100,80.51162,249,329.51162,742,FEASIBLE
0,0,1,28,75,100,5,10,3,15,100,75.505618,742,817.505618,742,UNKNOWN
0,0,1,28,40,50,5,10,3,15,100,40.149189,126,166.149189,376,FEASIBLE
0,0,1,28,30,50,5,10,3,15,100,30.139089,127,157.139089,376,FEASIBLE
0,0,1,28,20,50,5,10,3,15,100,20.129906,126,146.129906,376,FEASIBLE
0,0,1,28,10,50,5,10,3,15,100,10.113011,127,137.113011,376,FEASIBLE
0,0,1,28,4,50,5,10,3,15,100,4.107757,200,204.107757,376,FEASIBLE
0,0,1,28,7,50,5,10,3,15,100,7.129221,127,134.129221,376,FEASIBLE
0,0,1,28,150,200,5,10,3,15,100,151.860391,1356,1507.860391,1511,FEASIBLE
0,0,1,28,140,200,5,10,3,15,100,141.687825,1024,1165.687825,1511,FEASIBLE
0,0,1,28,130,200,5,10,3,15,100,131.968397,1433,1564.968397,1511,FEASIBLE
0,0,1,28,125,200,5,10,3,15,100,126.94865,1214,1340.94865,1511,FEASIBLE
0,0,1,28,145,250,5,10,3,15,100,148.291909,1895,2043.291909,1895,UNKNOWN
0,0,1,28,150,250,5,10,3,15,100,153.569347,1895,2048.569347,1895,UNKNOWN
0,0,1,28,160,250,5,10,3,15,100,163.396186,1895,2058.396186,1895,UNKNOWN
0,0,1,28,170,250,5,10,3,15,100,173.204482,1895,2068.204482,1895,UNKNOWN
0,0,1,28,200,250,5,10,3,15,100,203.089825,1895,2098.089825,1895,UNKNOWN
0,0,1,28,300,250,5,10,3,15,100,303.963214,1895,2198.963214,1895,UNKNOWN
0,0,1,28,400,250,5,10,3,15,100,404.205435,1895,2299.205435,1895,UNKNOWN
0,0,1,28,80,100,5,10,3,45,100,80.499537,250,330.499537,742,FEASIBLE
0,0,1,28,600,250,5,10,3,45,100,604.208787,1326,1930.208787,1895,FEASIBLE
0,0,1,28,140,200,5,10,3,45,100,142.526445,1511,1653.526445,1511,UNKNOWN
0,0,1,28,180,200,5,10,3,45,100,182.301277,1511,1693.301277,1511,FEASIBLE
0,0,1,28,150,200,5,10,3,45,100,152.772643,1511,1663.772643,1511,UNKNOWN
0,0,1,28,160,200,5,10,3,45,100,162.616181,1511,1673.616181,1511,UNKNOWN
0,0,1,28,170,200,5,10,3,45,100,172.864028,1511,1683.864028,1511,UNKNOWN
0,0,1,28,170,200,5,10,3,35,100,173.120648,1126,1299.120648,1511,FEASIBLE
